"";"data";"rating";"vertice";"valor";"indexador"
"385";2021-12-31;"AAA";"10";1,4216;"DI+"
"386";2021-12-31;"AAA";"11";1,4241;"DI+"
"387";2021-12-31;"AAA";"12";1,4261;"DI+"
"388";2021-12-31;"AAA";"13";1,4279;"DI+"
"389";2021-12-31;"AAA";"14";1,4294;"DI+"
"390";2021-12-31;"AAA";"15";1,4307;"DI+"
"391";2022-01-31;"AAA";"1";1,241;"DI+"
"392";2022-01-31;"AAA";"2";1,3661;"DI+"
"393";2022-01-31;"AAA";"3";1,4128;"DI+"
"394";2022-01-31;"AAA";"4";1,4364;"DI+"
"395";2022-01-31;"AAA";"5";1,4505;"DI+"
"396";2022-01-31;"AAA";"6";1,46;"DI+"
"397";2022-01-31;"AAA";"7";1,4667;"DI+"
"398";2022-01-31;"AAA";"8";1,4717;"DI+"
"399";2022-01-31;"AAA";"9";1,4757;"DI+"
"400";2022-01-31;"AAA";"10";1,4788;"DI+"
"401";2022-01-31;"AAA";"11";1,4814;"DI+"
"402";2022-01-31;"AAA";"12";1,4835;"DI+"
"403";2022-01-31;"AAA";"13";1,4854;"DI+"
"404";2022-01-31;"AAA";"14";1,4869;"DI+"
"405";2022-01-31;"AAA";"15";1,4883;"DI+"
"406";2022-02-28;"AAA";"1";1,175;"DI+"
"407";2022-02-28;"AAA";"2";1,274;"DI+"
"408";2022-02-28;"AAA";"3";1,3143;"DI+"
"409";2022-02-28;"AAA";"4";1,335;"DI+"
"410";2022-02-28;"AAA";"5";1,3475;"DI+"
"411";2022-02-28;"AAA";"6";1,3558;"DI+"
"412";2022-02-28;"AAA";"7";1,3617;"DI+"
"413";2022-02-28;"AAA";"8";1,3662;"DI+"
"414";2022-02-28;"AAA";"9";1,3697;"DI+"
"415";2022-02-28;"AAA";"10";1,3724;"DI+"
"416";2022-02-28;"AAA";"11";1,3747;"DI+"
"417";2022-02-28;"AAA";"12";1,3766;"DI+"
"418";2022-02-28;"AAA";"13";1,3782;"DI+"
"419";2022-02-28;"AAA";"14";1,3796;"DI+"
"420";2022-02-28;"AAA";"15";1,3808;"DI+"
"421";2022-03-31;"AAA";"1";1,0705;"DI+"
"422";2022-03-31;"AAA";"2";1,2348;"DI+"
"423";2022-03-31;"AAA";"3";1,3036;"DI+"
"424";2022-03-31;"AAA";"4";1,3394;"DI+"
"425";2022-03-31;"AAA";"5";1,3609;"DI+"
"426";2022-03-31;"AAA";"6";1,3753;"DI+"
"427";2022-03-31;"AAA";"7";1,3856;"DI+"
"428";2022-03-31;"AAA";"8";1,3933;"DI+"
"429";2022-03-31;"AAA";"9";1,3993;"DI+"
"430";2022-03-31;"AAA";"10";1,4041;"DI+"
"431";2022-03-31;"AAA";"11";1,4081;"DI+"
"432";2022-03-31;"AAA";"12";1,4114;"DI+"
"433";2022-03-31;"AAA";"13";1,4141;"DI+"
"434";2022-03-31;"AAA";"14";1,4165;"DI+"
"435";2022-03-31;"AAA";"15";1,4186;"DI+"
"436";2022-04-30;"AAA";"1";0,9517;"DI+"
"437";2022-04-30;"AAA";"2";1,135;"DI+"
"438";2022-04-30;"AAA";"3";1,2771;"DI+"
"439";2022-04-30;"AAA";"4";1,3885;"DI+"
"440";2022-04-30;"AAA";"5";1,4767;"DI+"
"441";2022-04-30;"AAA";"6";1,5474;"DI+"
